Text,Word Number,Line Start,Line End,Normalized,Language,Number
beth0130.xml,1,1,1,εὐμοίρι,grc,0
beth0130.xml,2,1,1,κύρι,grc,0
beth0130.xml,3,1,1,μου,grc,0
beth0130.xml,4,1,2,πατὴρ,grc,0
beth0130.xml,5,2,2,μετὰ,grc,0
beth0130.xml,6,2,2,τῆς,grc,0
beth0130.xml,7,2,3,κυρίας,grc,0
beth0130.xml,8,3,3,μου,grc,0
beth0130.xml,9,3,4,μητρὸς,grc,0
beth0130.xml,10,4,4,καὶ,grc,0
beth0130.xml,11,4,4,ἔσηται,grc,0
beth0130.xml,12,5,5,ἡ,grc,0
beth0130.xml,13,5,5,ψυχὴ,grc,0
beth0130.xml,14,5,5,ὑμῶν,grc,0
beth0130.xml,15,6,6,ἐχομένη,grc,0
beth0130.xml,16,6,6,ἀθα,grc,0
beth0130.xml,17,6,7,νάτου,grc,0
beth0130.xml,18,7,7,βίου,grc,0
beth0130.xml,19,8,8,ἰακὼ,grc,0
beth0130.xml,20,9,9,καὶ,grc,0
beth0130.xml,21,9,9,θινὼ,grc,0
beth0130.xml,22,10,10,ἡμῶν,grc,0
