Text,Word Number,Line Start,Line End,Normalized,Language,Number
caes0129.xml,1,1,1,+,grc,0
caes0129.xml,2,1,1,κύριος,grc,0
caes0129.xml,3,1,1,ὁ,grc,0
caes0129.xml,4,1,1,θεὸ,grc,0
caes0129.xml,5,1,1,ς,grc,0
caes0129.xml,6,1,2,εὐλογήσει,grc,0
caes0129.xml,7,2,2,τὸν,grc,0
caes0129.xml,8,2,2,σῖτόν,grc,0
caes0129.xml,9,3,3,σου,grc,0
caes0129.xml,10,3,3,καὶ,grc,0
caes0129.xml,11,3,3,τὸν,grc,0
caes0129.xml,12,3,3,οἶνόν,grc,0
caes0129.xml,13,4,4,σου,grc,0
caes0129.xml,14,4,4,καὶ,grc,0
caes0129.xml,15,4,4,τὸ,grc,0
caes0129.xml,16,4,4,ἔλεόν,grc,0
caes0129.xml,17,5,5,σου,grc,0
caes0129.xml,18,5,5,καὶ,grc,0
caes0129.xml,19,5,6,πληθυνεῖ,grc,0
caes0129.xml,20,6,6,ἀμήν,grc,0
caes0129.xml,21,6,6,+,grc,0
