Text,Word Number,Line Start,Line End,Normalized,Language,Number
elus0040.xml,1,1,1,ἀνεπάε,grc,0
elus0040.xml,2,1,1,ὁ,grc,0
elus0040.xml,3,1,1,μακάρ,grc,0
elus0040.xml,4,2,2,ιος,grc,0
elus0040.xml,5,2,2,γεώργιος,grc,0
elus0040.xml,6,2,2,βίκτω,grc,0
elus0040.xml,7,3,3,ρ,grc,0
elus0040.xml,8,3,3,έν,grc,0
elus0040.xml,9,3,3,μηνὶ,grc,0
elus0040.xml,10,3,3,ξανθικῷ,grc,0
elus0040.xml,11,3,3,ιςʹ,grc,0
elus0040.xml,12,3,4,ἰνδικτιῶνος,grc,0
elus0040.xml,13,4,4,ιβʹ,grc,0
elus0040.xml,14,4,4,ἔτους,grc,0
elus0040.xml,15,4,4,υογʹ,grc,0
