Text,Word Number,Line Start,Line End,Normalized,Language,Number
emma0001.xml,1,1,1,publius,la,0
emma0001.xml,2,1,1,oppius,la,0
emma0001.xml,3,1,1,filius,la,0
emma0001.xml,4,2,2,camilia,la,0
emma0001.xml,5,3,3,cio,la,0
emma0001.xml,6,3,3,ravenna,la,0
emma0001.xml,7,4,4,miles,la,0
emma0001.xml,8,4,4,legionis,la,0
emma0001.xml,9,4,4,v,la,0
emma0001.xml,10,5,5,macedonicae,la,0
emma0001.xml,11,5,5,optio,la,0
emma0001.xml,12,6,6,vixit,la,0
emma0001.xml,13,6,6,annos,la,0
emma0001.xml,14,7,7,xxx,la,0
emma0001.xml,15,7,7,militavit,la,0
emma0001.xml,16,8,8,annos,la,0
emma0001.xml,17,8,8,viiii,la,0
emma0001.xml,18,9,9,hic,la,0
emma0001.xml,19,9,9,situs,la,0
emma0001.xml,20,9,9,est,la,0
emma0001.xml,21,10,10,heres,la,0
emma0001.xml,22,10,10,fecit,la,0
