Text,Word Number,Line Start,Line End,Normalized,Language,Number
evro0007.xml,1,1,1,ψο,grc,0
evro0007.xml,2,2,2,βλπ,grc,0
evro0007.xml,3,3,4,δύστρου,grc,0
evro0007.xml,4,4,4,ἔτους,grc,0
evro0007.xml,5,4,4,463,grc,0
evro0007.xml,6,4,4,ἐπί,grc,0
evro0007.xml,7,5,5,σχου,grc,0
evro0007.xml,8,5,5,ἐπισκόπου,grc,0
evro0007.xml,9,6,6,έου,grc,0
evro0007.xml,10,6,6,χωρεπισκόπου,grc,0
evro0007.xml,11,7,7,σαμάκωνος,grc,0
evro0007.xml,12,7,8,πρεσβυτέρου,grc,0
evro0007.xml,13,8,8,ἰουλιανοῦ,grc,0
evro0007.xml,14,8,9,ἀρ,grc,0
evro0007.xml,15,9,9,χιδιακόνου,grc,0
evro0007.xml,16,9,9,ζαδάκων,grc,0
evro0007.xml,17,10,10,εὐθαλίου,grc,0
evro0007.xml,18,10,10,καί,grc,0
evro0007.xml,19,10,10,η,grc,0
evro0007.xml,20,11,11,ησου,grc,0
evro0007.xml,21,11,11,διακόνων,grc,0
evro0007.xml,22,11,11,μαξιμωνος,grc,0
evro0007.xml,23,12,12,γεράσωνος,grc,0
evro0007.xml,24,12,12,ὐπόδιακόνων,grc,0
evro0007.xml,25,13,13,κ,grc,0
evro0007.xml,26,13,13,αί,grc,0
evro0007.xml,27,13,13,ἱωάννους,grc,0
evro0007.xml,28,13,14,δομνίν,grc,0
evro0007.xml,29,14,14,ου,grc,0
evro0007.xml,30,14,14,γερμανοῦ,grc,0
evro0007.xml,31,14,14,τῶν,grc,0
evro0007.xml,32,15,15,ἀναγνωστῶν,grc,0
evro0007.xml,33,16,16,κύριε,grc,0
evro0007.xml,34,16,16,ἰησοῦ,grc,0
evro0007.xml,35,16,16,χριστ,grc,0
evro0007.xml,36,16,16,έ,grc,0
evro0007.xml,37,16,16,μνήσκου,grc,0
evro0007.xml,38,16,17,τ,grc,0
evro0007.xml,39,17,17,οῦ,grc,0
evro0007.xml,40,17,17,δούλου,grc,0
evro0007.xml,41,17,17,σου,grc,0
evro0007.xml,42,17,18,ἰουλ,grc,0
evro0007.xml,43,18,18,ιανοῦ,grc,0
evro0007.xml,44,18,18,καί,grc,0
evro0007.xml,45,18,18,παύλου,grc,0
evro0007.xml,46,19,19,τοῦ,grc,0
evro0007.xml,47,19,19,ψηφοθέτου,grc,0
evro0007.xml,48,20,20,κεμλου,grc,0
evro0007.xml,49,21,21,ι,grc,0
evro0007.xml,50,21,21,στρατηγίου,grc,0
