Text,Word Number,Line Start,Line End,Normalized,Language,Number
fein0002.xml,1,1,1,ἐνταῦθα,grc,0
fein0002.xml,2,1,1,κῖτε,grc,0
fein0002.xml,3,1,1,νοννα,grc,0
fein0002.xml,4,2,2,πολιτευομένου,grc,0
fein0002.xml,5,2,3,θυ,grc,0
fein0002.xml,6,3,3,γάτηρ,grc,0
fein0002.xml,7,3,3,διάκων,grc,0
fein0002.xml,8,3,3,ζήσασα,grc,0
fein0002.xml,9,4,4,ἕτη,grc,0
fein0002.xml,10,4,4,ἀναπαεῖσα,grc,0
fein0002.xml,11,4,4,μετὰ,grc,0
fein0002.xml,12,4,4,ε,grc,0
fein0002.xml,13,5,5,σεμνό,grc,0
fein0002.xml,14,5,5,τητος,grc,0
fein0002.xml,15,5,5,μήτηρ,grc,0
fein0002.xml,16,6,6,τέκνων,grc,0
fein0002.xml,17,6,6,ιβ´,grc,0
fein0002.xml,18,6,6,δεσίου,grc,0
fein0002.xml,19,6,7,ἰνδι,grc,0
fein0002.xml,20,7,7,κτιῶνος,grc,0
fein0002.xml,21,7,7,ί,grc,0
fein0002.xml,22,7,7,ἤτους,grc,0
fein0002.xml,23,7,7,υπζ´,grc,0
fein0002.xml,24,7,7,ἐν,grc,0
fein0002.xml,25,7,7,τῷ,grc,0
fein0002.xml,26,7,7,ἐν,grc,0
fein0002.xml,27,8,8,ιαυτῷ,grc,0
fein0002.xml,28,8,8,ᾦ,grc,0
fein0002.xml,29,8,8,ἀπέθανεν,grc,0
fein0002.xml,30,8,8,τὸ,grc,0
fein0002.xml,31,8,8,τρίτον,grc,0
fein0002.xml,32,9,9,τοῦ,grc,0
fein0002.xml,33,9,9,κόσμου,grc,0
