Text,Word Number,Line Start,Line End,Normalized,Language,Number
hamm0054.xml,1,1,1,+,grc,0
hamm0054.xml,2,1,1,ἐπὶ,grc,0
hamm0054.xml,3,1,1,ἀβδάλλα,grc,0
hamm0054.xml,4,1,1,μαάυια,grc,0
hamm0054.xml,5,1,1,ἀμήρα,grc,0
hamm0054.xml,6,2,2,ἀλμουμενὴν,grc,0
hamm0054.xml,7,2,2,ἀπελούθη,grc,0
hamm0054.xml,8,2,2,καὶ,grc,0
hamm0054.xml,9,2,2,ἀνε,grc,0
hamm0054.xml,10,3,3,νεώθη,grc,0
hamm0054.xml,11,3,3,ὁ,grc,0
hamm0054.xml,12,3,3,κλίβανος,grc,0
hamm0054.xml,13,3,3,τῶν,grc,0
hamm0054.xml,14,3,3,ἐνταῦ,grc,0
hamm0054.xml,15,4,4,θα,grc,0
hamm0054.xml,16,4,4,διὰ,grc,0
hamm0054.xml,17,4,4,ἀβδάλλα,grc,0
hamm0054.xml,18,4,4,υἱοῦ,grc,0
hamm0054.xml,19,4,4,ἀβουασέμου,grc,0
hamm0054.xml,20,5,5,συμβούλου,grc,0
hamm0054.xml,21,5,5,ἐν,grc,0
hamm0054.xml,22,5,5,μηνὴ,grc,0
hamm0054.xml,23,5,5,δεκεμβρίῳ,grc,0
hamm0054.xml,24,6,6,πέμπτῃ,grc,0
hamm0054.xml,25,6,6,ἡμέρᾳ,grc,0
hamm0054.xml,26,6,6,δευτέρᾳ,grc,0
hamm0054.xml,27,6,6,ἰνδικτιῶνος,grc,0
hamm0054.xml,28,6,6,ς´,grc,0
hamm0054.xml,29,7,7,ἔτους,grc,0
hamm0054.xml,30,7,7,τῆς,grc,0
hamm0054.xml,31,7,7,κολωνίας,grc,0
hamm0054.xml,32,7,7,ςκψ,grc,0
hamm0054.xml,33,7,7,κατὰ,grc,0
hamm0054.xml,34,7,7,ἀράβας,grc,0
hamm0054.xml,35,8,8,ἔτους,grc,0
hamm0054.xml,36,8,8,μβ´,grc,0
hamm0054.xml,37,8,8,εἰς,grc,0
hamm0054.xml,38,8,8,ἴασην,grc,0
hamm0054.xml,39,8,8,τῶν,grc,0
hamm0054.xml,40,8,8,νοσούν,grc,0
hamm0054.xml,41,9,9,των,grc,0
hamm0054.xml,42,9,9,σπουδῇ,grc,0
hamm0054.xml,43,9,9,ἰωάννου,grc,0
hamm0054.xml,44,9,9,μειζοτέρου,grc,0
hamm0054.xml,45,9,9,γαδαρηνοῦ,grc,0
