Text,Word Number,Line Start,Line End,Normalized,Language,Number
kafr0010.xml,1,1,1,διοκλητιανὸς,grc,0
kafr0010.xml,2,2,2,καὶ,grc,0
kafr0010.xml,3,2,2,μαξιμιανὸς,grc,0
kafr0010.xml,4,3,3,σεβαστοὶ,grc,0
kafr0010.xml,5,3,3,καὶ,grc,0
kafr0010.xml,6,4,4,κωστάντιος,grc,0
kafr0010.xml,7,5,5,επιφανέστατοι,grc,0
kafr0010.xml,8,6,6,καίσαρες,grc,0
kafr0010.xml,9,7,7,λίθον,grc,0
kafr0010.xml,10,7,7,διορί,grc,0
kafr0010.xml,11,8,8,ζον,grc,0
kafr0010.xml,12,8,8,τα,grc,0
kafr0010.xml,13,8,8,ἀγρο,grc,0
kafr0010.xml,14,8,8,ὺς,grc,0
kafr0010.xml,15,8,8,or,grc,0
kafr0010.xml,16,8,8,ὅρους,grc,0
