Text,Word Number,Line Start,Line End,Normalized,Language,Number
mari0001.xml,1,1,1,βασίλισσαν,grc,0
mari0001.xml,2,1,1,ἀρσινόην,grc,0
mari0001.xml,3,1,1,μεγάλην,grc,0
mari0001.xml,4,2,2,θεὰν,grc,0
mari0001.xml,5,2,2,φιλοπάτορα,grc,0
mari0001.xml,6,2,2,τήν,grc,0
mari0001.xml,7,2,2,ἐγ,grc,0
mari0001.xml,8,2,2,βασιλέως,grc,0
mari0001.xml,9,3,3,πτολεμαίον,grc,0
mari0001.xml,10,3,3,καὶ,grc,0
mari0001.xml,11,3,3,βασιλίσσης,grc,0
mari0001.xml,12,3,3,βερενί,grc,0
mari0001.xml,13,4,4,κης,grc,0
mari0001.xml,14,4,4,θεῶν,grc,0
mari0001.xml,15,4,4,εὐεργέτῶν,grc,0
