Text,Word Number,Line Start,Line End,Normalized,Language,Number
masa0421.xml,1,1,1,בר,arc,0
masa0421.xml,2,1,1,חנון,arc,0
masa0421.xml,3,1,1,ד,arc,0
masa0421.xml,4,2,2,יאחז,arc,0
masa0421.xml,5,2,2,ג,arc,0
masa0421.xml,6,3,3,אליעזר,arc,0
masa0421.xml,7,3,3,ד,arc,0
masa0421.xml,8,4,4,שאול,arc,0
masa0421.xml,9,4,4,ד,arc,0
masa0421.xml,10,5,5,בר,arc,0
masa0421.xml,11,5,5,חרשא,arc,0
masa0421.xml,12,5,5,ג,arc,0
masa0421.xml,13,6,6,בר,arc,0
masa0421.xml,14,6,6,בניה,arc,0
masa0421.xml,15,6,6,ג,arc,0
masa0421.xml,16,7,7,בר,arc,0
masa0421.xml,17,7,7,קרזלא,arc,0
masa0421.xml,18,8,8,שמעון,arc,0
masa0421.xml,19,9,9,בר,arc,0
