Text,Word Number,Line Start,Line End,Normalized,Language,Number
mger0395.xml,1,2,2,אנכי,arc,0
mger0395.xml,2,2,2,יהוה,arc,0
mger0395.xml,3,2,2,אלהיך,arc,0
mger0395.xml,4,3,3,לא,arc,0
mger0395.xml,5,3,3,יהיה,arc,0
mger0395.xml,6,3,3,לך,arc,0
mger0395.xml,7,3,3,אלהים,arc,0
mger0395.xml,8,4,4,אחרים,arc,0
mger0395.xml,9,4,4,על,arc,0
mger0395.xml,10,4,4,פני,arc,0
mger0395.xml,11,5,5,כי,arc,0
mger0395.xml,12,5,5,יהוה,arc,0
mger0395.xml,13,5,5,הוא,arc,0
mger0395.xml,14,5,5,האלהים,arc,0
mger0395.xml,15,6,6,אין,arc,0
mger0395.xml,16,6,6,עוד,arc,0
mger0395.xml,17,6,6,מלבדו,arc,0
mger0395.xml,18,7,7,כי,arc,0
mger0395.xml,19,7,7,יהוה,arc,0
mger0395.xml,20,7,7,הוא,arc,0
mger0395.xml,21,7,7,האלהים,arc,0
mger0395.xml,22,8,8,בשמים,arc,0
mger0395.xml,23,8,8,ממעל,arc,0
mger0395.xml,24,8,8,ועל,arc,0
mger0395.xml,25,9,9,הערץ,arc,0
mger0395.xml,26,9,9,מת,arc,0
mger0395.xml,27,9,9,חת,arc,0
mger0395.xml,28,9,9,אין,arc,0
mger0395.xml,29,9,9,עוד,arc,0
mger0395.xml,30,10,10,יהוה,arc,0
mger0395.xml,31,10,10,אלהינו,arc,0
mger0395.xml,32,11,11,יהוה,arc,0
mger0395.xml,33,11,11,אחד,arc,0
mger0395.xml,34,11,11,כי,arc,0
mger0395.xml,35,12,12,יהוה,arc,0
mger0395.xml,36,12,12,אלהיכם,arc,0
mger0395.xml,37,12,12,הוא,arc,0
mger0395.xml,38,13,13,אלהי,arc,0
mger0395.xml,39,13,13,האלהים,arc,0
mger0395.xml,40,14,14,ואדון,arc,0
mger0395.xml,41,14,14,האדונים,arc,0
mger0395.xml,42,15,15,ואין,arc,0
mger0395.xml,43,15,15,עמו,arc,0
mger0395.xml,44,15,15,אל,arc,0
mger0395.xml,45,15,15,נכר,arc,0
