Text,Word Number,Line Start,Line End,Normalized,Language,Number
sena0001.xml,1,1,1,καὶ,grc,0
sena0001.xml,2,1,1,γάλεσος,grc,0
sena0001.xml,3,1,1,καὶ,grc,0
sena0001.xml,4,1,1,μοβογέος,grc,0
sena0001.xml,5,2,2,ἀνέθηκαν,grc,0
sena0001.xml,6,2,2,ἐκ,grc,0
sena0001.xml,7,2,2,τῶν,grc,0
sena0001.xml,8,2,2,ἰδίων,grc,0
sena0001.xml,9,2,2,τὸν,grc,0
sena0001.xml,10,2,2,βωμ,grc,0
sena0001.xml,11,3,3,ὸν,grc,0
sena0001.xml,12,3,3,ἀφαρεὺς,grc,0
sena0001.xml,13,3,3,κατόχου,grc,0
sena0001.xml,14,3,3,ὄντος,grc,0
sena0001.xml,15,4,4,τοῦ,grc,0
sena0001.xml,16,4,4,θεοῦ,grc,0
sena0001.xml,17,4,4,ἐγένετο,grc,0
sena0001.xml,18,4,4,ὁ,grc,0
sena0001.xml,19,4,4,βωμ,grc,0
sena0001.xml,20,4,4,ὸς,grc,0
