Text,Word Number,Line Start,Line End,Normalized,Language,Number
sepp0014.xml,1,1,1,ϲωσίβιος,grc,0
sepp0014.xml,2,1,1,<supplied,grc,0
sepp0014.xml,3,1,1,reason=undefined,grc,0
sepp0014.xml,4,1,1,cert=low>μίλχου,grc,0
sepp0014.xml,5,1,1,ὑπὲρ,grc,0
sepp0014.xml,6,1,1,σωτηρίας,grc,0
sepp0014.xml,7,1,1,αὑτοῦ,grc,0
sepp0014.xml,8,1,1,κὲ,grc,0
sepp0014.xml,9,1,1,τῶν,grc,0
sepp0014.xml,10,1,2,τέκν,grc,0
sepp0014.xml,11,2,2,ων,grc,0
sepp0014.xml,12,2,2,αὐτοῦ,grc,0
sepp0014.xml,13,2,2,ἐποίησεν,grc,0
sepp0014.xml,14,2,2,τὴν,grc,0
sepp0014.xml,15,2,2,τάβλαν,grc,0
sepp0014.xml,16,2,2,εὐλογία,grc,0
sepp0014.xml,17,2,2,αὐτοῖς,grc,0
