Text,Word Number,Line Start,Line End,Normalized,Language,Number
tdor0004.xml,1,2,2,μᾶρκον,grc,0
tdor0004.xml,2,2,2,πάκκιον,grc,0
tdor0004.xml,3,2,2,ποκίου,grc,0
tdor0004.xml,4,3,3,υἱὸν,grc,0
tdor0004.xml,5,3,3,κυρείνα,grc,0
tdor0004.xml,6,3,3,σιλουᾶνον,grc,0
tdor0004.xml,7,3,3,κόιντον,grc,0
tdor0004.xml,8,4,4,κορήδιον,grc,0
tdor0004.xml,9,4,4,γᾶλλον,grc,0
tdor0004.xml,10,4,4,γαργίλιον,grc,0
tdor0004.xml,11,5,5,ἀντείχουον,grc,0
tdor0004.xml,12,5,5,πρεσβευτὴν,grc,0
tdor0004.xml,13,6,6,σεβαστου,grc,0
tdor0004.xml,14,6,6,ἀντιστράτηγον,grc,0
tdor0004.xml,15,7,7,ἐπαρχείας,grc,0
tdor0004.xml,16,7,7,συρίας,grc,0
