Text,Word Number,Line Start,Line End,Normalized,Language,Number
tibe0006.xml,1,1,1,μνησθῇ,grc,0
tibe0006.xml,2,1,1,εἰς,grc,0
tibe0006.xml,3,1,1,ἀγαθὸν,grc,0
tibe0006.xml,4,1,1,καὶ,grc,0
tibe0006.xml,5,1,1,εἰς,grc,0
tibe0006.xml,6,2,2,εὐλογίαν,grc,0
tibe0006.xml,7,2,2,προφοτοῦρος,grc,0
tibe0006.xml,8,2,2,ὁ,grc,0
tibe0006.xml,9,2,3,μιζό,grc,0
tibe0006.xml,10,3,3,τερος,grc,0
tibe0006.xml,11,3,3,ἐποίησεν,grc,0
tibe0006.xml,12,3,3,τὴν,grc,0
tibe0006.xml,13,3,3,στοὰν,grc,0
tibe0006.xml,14,3,4,ταύ,grc,0
tibe0006.xml,15,4,4,την,grc,0
tibe0006.xml,16,4,4,τοῦ,grc,0
tibe0006.xml,17,4,4,ἁγίου,grc,0
tibe0006.xml,18,4,4,τόπου,grc,0
tibe0006.xml,19,4,4,ἐυλογία,grc,0
tibe0006.xml,20,4,4,αὐτῷ,grc,0
tibe0006.xml,21,5,5,ἀμήν,grc,0
tibe0006.xml,22,5,5,שלום,grc,0
