Text,Word Number,Line Start,Line End,Normalized,Language,Number
tqas0001.xml,1,1,1,ἐπὶ,grc,0
tqas0001.xml,2,1,1,οὐρβικοῦ,grc,0
tqas0001.xml,3,1,1,κόμητος,grc,0
tqas0001.xml,4,1,1,τοῦ,grc,0
tqas0001.xml,5,1,1,δείνου,grc,0
tqas0001.xml,6,2,2,υἱοῦ,grc,0
tqas0001.xml,7,2,2,ἀι,grc,0
tqas0001.xml,8,2,2,γαθέω,grc,0
tqas0001.xml,9,2,2,ς,grc,0
tqas0001.xml,10,2,2,προσφορὰ,grc,0
tqas0001.xml,11,2,2,ὑπὲρ,grc,0
tqas0001.xml,12,3,3,σωτηρίασ,grc,0
tqas0001.xml,13,3,3,τῶν,grc,0
tqas0001.xml,14,3,3,θεοφιλεστά,grc,0
tqas0001.xml,15,3,4,των,grc,0
tqas0001.xml,16,4,4,αὐτῖ,grc,0
tqas0001.xml,17,4,4,τέκνων,grc,0
tqas0001.xml,18,4,4,τὸ,grc,0
tqas0001.xml,19,4,4,ἔργ,grc,0
tqas0001.xml,20,5,5,ον,grc,0
tqas0001.xml,21,5,5,σὺ,grc,0
tqas0001.xml,22,5,5,ν,grc,0
tqas0001.xml,23,5,5,τῷ,grc,0
tqas0001.xml,24,5,5,φωσιστη,grc,0
tqas0001.xml,25,5,5,ρίῳ,grc,0
tqas0001.xml,26,5,5,ἐγένετο,grc,0
