Text,Word Number,Line Start,Line End,Normalized,Language,Number
ulat0004.xml,1,1,1,διοκλητιανὸς,grc,0
ulat0004.xml,2,1,1,καὶ,grc,0
ulat0004.xml,3,1,1,μαξιμιανὸς,grc,0
ulat0004.xml,4,1,1,σεβαστοὶ,grc,0
ulat0004.xml,5,1,1,καὶ,grc,0
ulat0004.xml,6,1,1,κωνστάντιος,grc,0
ulat0004.xml,7,1,1,καὶ,grc,0
ulat0004.xml,8,1,1,μαξιμιανὸς,grc,0
ulat0004.xml,9,1,1,κέσαρες,grc,0
ulat0004.xml,10,1,1,λίθον,grc,0
ulat0004.xml,11,1,1,διορίζοντα,grc,0
ulat0004.xml,12,1,1,ἀγροὺς,grc,0
ulat0004.xml,13,1,1,ἐποικίου,grc,0
ulat0004.xml,14,1,1,χρησιμιανου,grc,0
ulat0004.xml,15,1,1,στηριχθῆνε,grc,0
ulat0004.xml,16,1,1,ἐκέλευσαν,grc,0
ulat0004.xml,17,1,1,φροντίδι,grc,0
ulat0004.xml,18,1,1,ἐλίου,grc,0
ulat0004.xml,19,1,1,στατούτου,grc,0
ulat0004.xml,20,1,1,τοῦ,grc,0
ulat0004.xml,21,1,1,διασημοτάτου,grc,0
