Text,Word Number,Line Start,Line End,Normalized,Language,Number
zoor0150.xml,1,1,1,+,grc,0
zoor0150.xml,2,2,2,εἷς,grc,0
zoor0150.xml,3,2,2,θεός,grc,0
zoor0150.xml,4,2,2,δόξα,grc,0
zoor0150.xml,5,3,3,τῷ,grc,0
zoor0150.xml,6,3,3,κυρίῳ,grc,0
zoor0150.xml,7,3,3,ἀμήν,grc,0
zoor0150.xml,8,3,3,μνημεῖον,grc,0
zoor0150.xml,9,4,4,γοργονίου,grc,0
zoor0150.xml,10,4,4,κλαυδίου,grc,0
zoor0150.xml,11,4,4,ὑποδιακόνου,grc,0
zoor0150.xml,12,5,5,ἀποθανόντος,grc,0
zoor0150.xml,13,6,6,μετὰ,grc,0
zoor0150.xml,14,6,6,καλοῦ,grc,0
zoor0150.xml,15,6,6,+,grc,0
zoor0150.xml,16,7,7,ὀνόματος,grc,0
zoor0150.xml,17,8,8,ἐτῶν,grc,0
zoor0150.xml,18,8,8,νεʹ,grc,0
zoor0150.xml,19,8,8,ἐν,grc,0
zoor0150.xml,20,8,8,ἔτι,grc,0
zoor0150.xml,21,9,9,τοῦ,grc,0
zoor0150.xml,22,9,9,ἔτους,grc,0
zoor0150.xml,23,9,9,τλαʹ,grc,0
zoor0150.xml,24,10,10,μηνὸς,grc,0
zoor0150.xml,25,10,10,γορπαίου,grc,0
zoor0150.xml,26,10,10,εʹ,grc,0
zoor0150.xml,27,11,11,ἡμέρᾳ,grc,0
zoor0150.xml,28,12,12,κυρίου,grc,0
zoor0150.xml,29,12,12,βʹ,grc,0
zoor0150.xml,30,13,13,χριστὲ,grc,0
zoor0150.xml,31,13,13,ἰησο,grc,0
zoor0150.xml,32,13,13,ῦ,grc,0
zoor0150.xml,33,13,13,σῶσον,grc,0
zoor0150.xml,34,14,14,+,grc,0
zoor0150.xml,35,14,14,+,grc,0
zoor0150.xml,36,14,14,+,grc,0
