,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,akas0002.xml,1,3,3,μνη,grc,0,,,,
1,akas0002.xml,2,3,3,σθῇ,grc,0,,,,
2,akas0002.xml,3,4,4,ὁ,grc,0,,,,
3,akas0002.xml,4,4,4,πρεσβύτερος,grc,0,,,,
4,akas0002.xml,5,5,5,αλαφ,grc,0,,,,
5,akas0002.xml,6,6,6,ο,grc,0,,,,
6,akas0002.xml,7,6,6,αχ,grc,0,,,,
7,akas0002.xml,8,7,7,ε,grc,0,,,,
8,akas0002.xml,9,8,8,απλετβ,grc,0,,,,
9,akas0002.xml,10,9,9,ωα,grc,0,,,,
