,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,anri0001.xml,1,1,1,θήκη,grc,0,,,,
1,anri0001.xml,2,1,1,ἱερεμ,grc,0,,,,
2,anri0001.xml,3,2,2,ία,grc,0,,,,
3,anri0001.xml,4,2,2,κολοκασί,grc,0,,,,
4,anri0001.xml,5,3,3,ου,grc,0,,,,
5,anri0001.xml,6,3,3,ἰώση,grc,0,,,,
6,anri0001.xml,7,3,3,κὲּ,grc,0,,,,
7,anri0001.xml,8,4,4,θεοδοτοῦ,grc,0,,,,
8,anri0001.xml,9,5,5,ς,grc,0,,,,
9,anri0001.xml,10,5,5,οἷ,grc,0,,,,
10,anri0001.xml,11,5,5,τέκνῳ,grc,0,,,,
11,anri0001.xml,12,5,5,αὐ,grc,0,,,,
12,anri0001.xml,13,6,6,τῶν,grc,0,,,,
13,anri0001.xml,14,6,6,ἐποίησαν,grc,0,,,,
