,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,ashk0002.xml,1,2,2,θεὸς,grc,0,,,,
1,ashk0002.xml,2,2,2,βοήθει,grc,0,,,,
2,ashk0002.xml,3,2,2,κυρὰ,grc,0,,,,
3,ashk0002.xml,4,2,2,δόμνα,grc,0,,,,
4,ashk0002.xml,5,2,2,ἰουλιανοῦ,grc,0,,,,
5,ashk0002.xml,6,2,2,καὶ,grc,0,,,,
6,ashk0002.xml,7,2,2,κῦ,grc,0,,,,
7,ashk0002.xml,8,3,3,ρος,grc,0,,,,
8,ashk0002.xml,9,3,3,μάριν,grc,0,,,,
9,ashk0002.xml,10,3,3,νόννου,grc,0,,,,
10,ashk0002.xml,11,3,3,εὐχαριστοῦντες,grc,0,,,,
11,ashk0002.xml,12,4,4,προσφέρωμεν,grc,0,,,,
12,ashk0002.xml,13,4,4,κῦρος,grc,0,,,,
13,ashk0002.xml,14,5,5,ἐγγόνιν,grc,0,,,,
14,ashk0002.xml,15,5,5,ἑλικίου,grc,0,,,,
15,ashk0002.xml,16,5,5,εὐχαριστῶν,grc,0,,,,
16,ashk0002.xml,17,6,6,τῷ,grc,0,,,,
17,ashk0002.xml,18,6,6,θεῷ,grc,0,,,,
18,ashk0002.xml,19,6,6,καὶ,grc,0,,,,
19,ashk0002.xml,20,6,6,τῷ,grc,0,,,,
20,ashk0002.xml,21,6,6,ἁγίῳ,grc,0,,,,
21,ashk0002.xml,22,6,6,τόπῳ,grc,0,,,,
22,ashk0002.xml,23,6,6,προσήνεγκ,grc,0,,,,
23,ashk0002.xml,24,7,7,α,grc,0,,,,
24,ashk0002.xml,25,7,7,ὑπὲρ,grc,0,,,,
25,ashk0002.xml,26,7,7,σωτερίας,grc,0,,,,
26,ashk0002.xml,27,7,7,κῦρος,grc,0,,,,
27,ashk0002.xml,28,7,7,κόμμοδος,grc,0,,,,
28,ashk0002.xml,29,7,7,προσήω,grc,0,,,,
29,ashk0002.xml,30,8,8,εγκα,grc,0,,,,
30,ashk0002.xml,31,8,8,ὑπὲρ,grc,0,,,,
31,ashk0002.xml,32,8,8,σωτερίας,grc,0,,,,
32,ashk0002.xml,33,8,8,καὶ,grc,0,,,,
33,ashk0002.xml,34,9,9,ζοήν,grc,0,,,,
34,ashk0002.xml,35,9,9,ἔτους,grc,0,,,,
35,ashk0002.xml,36,9,9,θψ,grc,0,,,,
