,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,beth0250.xml,1,1,1,זו,he,0,,,,
1,beth0250.xml,2,1,1,ארונו,he,0,,,,
2,beth0250.xml,3,1,1,של,he,0,,,,
3,beth0250.xml,4,1,1,רבי,he,0,,,,
4,beth0250.xml,5,1,1,הליל,he,0,,,,
5,beth0250.xml,6,1,1,בנו,he,0,,,,
6,beth0250.xml,7,1,1,של,he,0,,,,
7,beth0250.xml,8,1,1,רבי,he,0,,,,
8,beth0250.xml,9,1,1,לווי,he,0,,,,
9,beth0250.xml,10,1,1,שעשה,he,0,,,,
10,beth0250.xml,11,2,2,את,he,0,,,,
11,beth0250.xml,12,2,2,המערה,he,0,,,,
12,beth0250.xml,13,2,2,הזו,he,0,,,,
