,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,bguv0100.xml,1,2,2,ἐπι,grc,0,,,,
1,bguv0100.xml,2,2,2,φλαουίου,grc,0,,,,
2,bguv0100.xml,3,2,2,κυντιανοῦ,grc,0,,,,
3,bguv0100.xml,4,2,2,τοῦ,grc,0,,,,
4,bguv0100.xml,5,2,2,λαμπροτάτου,grc,0,,,,
5,bguv0100.xml,6,2,2,κομήτος,grc,0,,,,
6,bguv0100.xml,7,2,2,καὶ,grc,0,,,,
7,bguv0100.xml,8,2,2,κουκὸσ,grc,0,,,,
8,bguv0100.xml,9,2,2,τὸ,grc,0,,,,
9,bguv0100.xml,10,2,2,ἀπαντητἠριον,grc,0,,,,
10,bguv0100.xml,11,3,3,ἐκ,grc,0,,,,
11,bguv0100.xml,12,3,3,θεμελίων,grc,0,,,,
12,bguv0100.xml,13,3,3,ἐκτίσθη,grc,0,,,,
