,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,birs0003.xml,1,1,1,υπέρ,grc,0,,,,
1,birs0003.xml,2,1,1,σω,grc,0,,,,
2,birs0003.xml,3,2,2,τηρίας,grc,0,,,,
3,birs0003.xml,4,3,3,ἄλφιου,grc,0,,,,
4,birs0003.xml,5,4,4,καὶ,grc,0,,,,
5,birs0003.xml,6,4,4,παν,grc,0,,,,
6,birs0003.xml,7,5,5,τός,grc,0,,,,
7,birs0003.xml,8,5,5,τοῦ,grc,0,,,,
8,birs0003.xml,9,6,6,οἴκου,grc,0,,,,
9,birs0003.xml,10,6,6,αὐ,grc,0,,,,
10,birs0003.xml,11,7,7,τοῦ,grc,0,,,,
11,birs0003.xml,12,7,7,καὶ,grc,0,,,,
12,birs0003.xml,13,7,7,ἀ,grc,0,,,,
13,birs0003.xml,14,8,8,ναπαύσε,grc,0,,,,
14,birs0003.xml,15,9,9,ως,grc,0,,,,
15,birs0003.xml,16,9,9,διονυ,grc,0,,,,
16,birs0003.xml,17,10,10,σίας,grc,0,,,,
