,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,caes0035.xml,1,1,1,thraciae,la,0,thraciae,ADJ,,thracius
1,caes0035.xml,2,1,1,legato,la,0,legato,N,dat,legatum|legatus
2,caes0035.xml,3,1,1,augusti,la,0,augusti,ADJ,,augustus
3,caes0035.xml,4,1,1,l,la,0,l,ABBR,,l.
4,caes0035.xml,5,2,2,legionis,la,0,legionis,N,gen,legio
5,caes0035.xml,6,2,2,iii,la,0,iii,ADJ,NUM,iii
6,caes0035.xml,7,2,2,cyrenaicae,la,0,cyrenaicae,ADJ,,cyrenaicae
7,caes0035.xml,8,2,2,curat,la,0,curat,V,IND,curo
8,caes0035.xml,9,2,2,ori,la,0,ori,N,dat,os
9,caes0035.xml,10,2,2,viae,la,0,viae,N,gen,via
