,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,carm0001.xml,1,1,1,ἐκτίσθη,grc,0,,,,
1,carm0001.xml,2,1,1,ἡ,grc,0,,,,
2,carm0001.xml,3,1,1,ἁγία,grc,0,,,,
3,carm0001.xml,4,2,2,ἐκλησία,grc,0,,,,
4,carm0001.xml,5,2,2,ἔτους,grc,0,,,,
5,carm0001.xml,6,2,2,ἐνενι,grc,0,,,,
6,carm0001.xml,7,2,3,κοστοῦ,grc,0,,,,
7,carm0001.xml,8,3,3,500,grc,0,,,,
8,carm0001.xml,9,3,3,ἰνδκτιῶνος,grc,0,,,,
9,carm0001.xml,10,3,3,ε,grc,0,,,,
10,carm0001.xml,11,3,3,ἐπι,grc,0,,,,
11,carm0001.xml,12,3,3,τοῦ,grc,0,,,,
12,carm0001.xml,13,4,4,θεοφιληστάτου,grc,0,,,,
13,carm0001.xml,14,4,4,έπισκ,grc,0,,,,
14,carm0001.xml,15,4,4,όπου,grc,0,,,,
15,carm0001.xml,16,4,4,ἡμῶν,grc,0,,,,
16,carm0001.xml,17,5,5,στεφάνου,grc,0,,,,
17,carm0001.xml,18,5,5,καί,grc,0,,,,
18,carm0001.xml,19,5,5,θεοσ,grc,0,,,,
19,carm0001.xml,20,5,5,εβεστάτου,grc,0,,,,
20,carm0001.xml,21,5,5,θεω,grc,0,,,,
