,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,eins0002.xml,1,1,1,δεξία,grc,0,,,,
1,eins0002.xml,2,1,1,κυρίου,grc,0,,,,
2,eins0002.xml,3,1,1,ἐποίησεν,grc,0,,,,
3,eins0002.xml,4,1,1,δύναμιν,grc,0,,,,
4,eins0002.xml,5,2,2,δεξία,grc,0,,,,
5,eins0002.xml,6,2,2,κυρίου,grc,0,,,,
6,eins0002.xml,7,2,2,ὕψωσεν,grc,0,,,,
7,eins0002.xml,8,2,2,ἡμᾶς,grc,0,,,,
8,eins0002.xml,9,3,3,ιε,grc,0,,,,
9,eins0002.xml,10,3,3,τα,grc,0,,,,
10,eins0002.xml,11,3,3,τῶν,grc,0,,,,
11,eins0002.xml,12,3,3,μεγα,grc,0,,,,
