,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,elus0003.xml,1,1,1,θάρσι,grc,0,,,,
1,elus0003.xml,2,1,1,ἀβ,grc,0,,,,
2,elus0003.xml,3,2,2,δαλγῆ,grc,0,,,,
3,elus0003.xml,4,2,2,οὐδίς,grc,0,,,,
4,elus0003.xml,5,3,3,ἀθάνατος,grc,0,,,,
5,elus0003.xml,6,3,3,ἐτῶ,grc,0,,,,
6,elus0003.xml,7,4,4,ν,grc,0,,,,
7,elus0003.xml,8,4,4,ϛζʹ,grc,0,,,,
8,elus0003.xml,9,4,4,μηνὸς,grc,0,,,,
9,elus0003.xml,10,4,4,δύσ,grc,0,,,,
10,elus0003.xml,11,5,5,τρου,grc,0,,,,
11,elus0003.xml,12,5,5,διʹ,grc,0,,,,
