,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,evro0008.xml,1,1,1,ὁ,grc,0,,,,
1,evro0008.xml,2,1,1,θεός,grc,0,,,,
2,evro0008.xml,3,2,2,τοῦ,grc,0,,,,
3,evro0008.xml,4,2,2,ἁγίου,grc,0,,,,
4,evro0008.xml,5,2,2,οἴκου,grc,0,,,,
5,evro0008.xml,6,3,3,βοήθησον,grc,0,,,,
6,evro0008.xml,7,3,3,τούς,grc,0,,,,
7,evro0008.xml,8,3,3,δούλους,grc,0,,,,
8,evro0008.xml,9,4,4,παύλου,grc,0,,,,
9,evro0008.xml,10,4,4,νόνου,grc,0,,,,
10,evro0008.xml,11,5,5,διάκονος,grc,0,,,,
11,evro0008.xml,12,6,6,καί,grc,0,,,,
12,evro0008.xml,13,6,6,διοδώρου,grc,0,,,,
13,evro0008.xml,14,7,7,πρεσ,grc,0,,,,
14,evro0008.xml,15,7,7,βυτέρου,grc,0,,,,
15,evro0008.xml,16,7,7,σάλλου,grc,0,,,,
16,evro0008.xml,17,7,7,καί,grc,0,,,,
17,evro0008.xml,18,8,8,νόνε,grc,0,,,,
18,evro0008.xml,19,8,9,εὐχαριστῶν,grc,0,,,,
19,evro0008.xml,20,9,9,τῆς,grc,0,,,,
20,evro0008.xml,21,10,10,τόν,grc,0,,,,
21,evro0008.xml,22,10,10,κύριον,grc,0,,,,
22,evro0008.xml,23,11,11,ἔτους,grc,0,,,,
23,evro0008.xml,24,11,11,538,grc,0,,,,
