,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,fein0013.xml,1,1,1,ἐμὶ,grc,0,,,,
1,fein0013.xml,2,1,1,τοῦ,grc,0,,,,
2,fein0013.xml,3,1,1,ὁσιωτ,grc,0,,,,
3,fein0013.xml,4,1,1,άτου,grc,0,,,,
4,fein0013.xml,5,1,2,ἐπισκόπου,grc,0,,,,
5,fein0013.xml,6,2,2,θεοδώρου,grc,0,,,,
6,fein0013.xml,7,3,3,ἐγένετο,grc,0,,,,
7,fein0013.xml,8,3,3,τὸ,grc,0,,,,
8,fein0013.xml,9,3,3,ἔργον,grc,0,,,,
9,fein0013.xml,10,4,4,ἔτους,grc,0,,,,
10,fein0013.xml,11,4,4,υπβ,grc,0,,,,
11,fein0013.xml,12,5,5,ἰνδικτιῶνος,grc,0,,,,
12,fein0013.xml,13,5,5,ές,grc,0,,,,
