,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,giva0001.xml,1,1,1,θεοῖς,grc,0,,,,
1,giva0001.xml,2,1,1,καταχθονίοις,grc,0,,,,
2,giva0001.xml,3,2,2,ἐνθάδε,grc,0,,,,
3,giva0001.xml,4,2,2,κεῖνται,grc,0,,,,
4,giva0001.xml,5,2,2,οἱ,grc,0,,,,
5,giva0001.xml,6,2,2,πατέρες,grc,0,,,,
6,giva0001.xml,7,3,3,τοῦ,grc,0,,,,
7,giva0001.xml,8,3,3,δεῖνα,grc,0,,,,
8,giva0001.xml,9,3,3,τοῦ,grc,0,,,,
9,giva0001.xml,10,3,3,εὐεργέτου,grc,0,,,,
