,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,haif0039.xml,1,1,1,μνησθῇ,grc,0,,,,
1,haif0039.xml,2,2,2,γερμανός,grc,0,,,,
2,haif0039.xml,3,3,3,στρατιώτης,grc,0,,,,
3,haif0039.xml,4,4,4,καί,grc,0,,,,
4,haif0039.xml,5,4,4,ἡ,grc,0,,,,
5,haif0039.xml,6,4,4,σύ,grc,0,,,,
6,haif0039.xml,7,4,4,μ,grc,0,,,,
7,haif0039.xml,8,4,4,βιος,grc,0,,,,
8,haif0039.xml,9,5,5,αὐτοῦ,grc,0,,,,
9,haif0039.xml,10,5,5,σωσιπάτρα,grc,0,,,,
10,haif0039.xml,11,5,5,καὶ,grc,0,,,,
11,haif0039.xml,12,6,6,τὰ,grc,0,,,,
12,haif0039.xml,13,7,7,τέ,grc,0,,,,
13,haif0039.xml,14,7,7,κ,grc,0,,,,
14,haif0039.xml,15,7,7,να,grc,0,,,,
