,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,hamm0015.xml,1,1,1,ἐν,grc,0,,,,
1,hamm0015.xml,2,1,1,τᾦ,grc,0,,,,
2,hamm0015.xml,3,1,1,ἀγιᾦ,grc,0,,,,
3,hamm0015.xml,4,1,1,καὶ,grc,0,,,,
4,hamm0015.xml,5,1,1,ἱερᾦ,grc,0,,,,
5,hamm0015.xml,6,1,1,τόπῳ,grc,0,,,,
6,hamm0015.xml,7,1,2,μ,grc,0,,,,
7,hamm0015.xml,8,2,2,νήσθῇ,grc,0,,,,
8,hamm0015.xml,9,2,2,ἀδόνη,grc,0,,,,
9,hamm0015.xml,10,3,3,ἡ,grc,0,,,,
10,hamm0015.xml,11,3,3,ὁλοχρυσὸς,grc,0,,,,
11,hamm0015.xml,12,3,3,ἡ,grc,0,,,,
12,hamm0015.xml,13,3,3,τοῦ,grc,0,,,,
13,hamm0015.xml,14,3,3,κύρου,grc,0,,,,
14,hamm0015.xml,15,3,3,πρίσκου,grc,0,,,,
