,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,idum0453.xml,1,1,1,עבדאדה,arc,0,,,,
1,idum0453.xml,2,1,1,בר,arc,0,,,,
2,idum0453.xml,3,1,1,עי,arc,0,,,,
3,idum0453.xml,4,1,1,דר,arc,0,,,,
4,idum0453.xml,5,1,1,אח,arc,0,,,,
5,idum0453.xml,6,2,2,משח,arc,0,,,,
6,idum0453.xml,7,2,2,ס,arc,0,,,,
7,idum0453.xml,8,2,2,ק,arc,0,,,,
8,idum0453.xml,9,4,4,ב,arc,0,,,,
9,idum0453.xml,10,4,4,לכסלו,arc,0,,,,
10,idum0453.xml,11,5,5,שנת,arc,0,,,,
11,idum0453.xml,12,6,6,קוצי,arc,0,,,,
