,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,iopp0001.xml,1,1,1,μνῆμα,grc,0,,,,
1,iopp0001.xml,2,1,1,διαφέροντ,grc,0,,,,
2,iopp0001.xml,3,2,2,α,grc,0,,,,
3,iopp0001.xml,4,2,2,βαβαειν,grc,0,,,,
4,iopp0001.xml,5,2,2,καὶ,grc,0,,,,
5,iopp0001.xml,6,2,2,ἐζικί,grc,0,,,,
6,iopp0001.xml,7,3,3,αν,grc,0,,,,
7,iopp0001.xml,8,3,3,ἀνεψιοῖς,grc,0,,,,
8,iopp0001.xml,9,3,3,εἰσὰκ,grc,0,,,,
9,iopp0001.xml,10,3,3,κ,grc,0,,,,
10,iopp0001.xml,11,4,4,ώζωνος,grc,0,,,,
