,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,jaff0067.xml,1,1,1,παριγοριου,grc,0,,,,
1,jaff0067.xml,2,1,1,καὶ,grc,0,,,,
2,jaff0067.xml,3,1,2,κύρας,grc,0,,,,
3,jaff0067.xml,4,2,2,τῆς,grc,0,,,,
4,jaff0067.xml,5,2,2,τῆς,grc,0,,,,
5,jaff0067.xml,6,2,2,ἐς,grc,0,,,,
6,jaff0067.xml,7,2,2,τὸν,grc,0,,,,
7,jaff0067.xml,8,2,3,βόλον,grc,0,,,,
8,jaff0067.xml,9,3,3,συνγενικῆς,grc,0,,,,
9,jaff0067.xml,10,3,3,τοῦ,grc,0,,,,
10,jaff0067.xml,11,3,4,λυσᾶ,grc,0,,,,
11,jaff0067.xml,12,4,4,εἰοπιτῶν,grc,0,,,,
