,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,jeru0447.xml,1,1,1,εὐφραίνεστε,grc,0,,,,
1,jeru0447.xml,2,1,1,οἰ,grc,0,,,,
2,jeru0447.xml,3,1,1,ζῶντες,grc,0,,,,
3,jeru0447.xml,4,2,2,ἀδελφοὶ,grc,0,,,,
4,jeru0447.xml,5,2,2,καὶ,grc,0,,,,
5,jeru0447.xml,6,2,2,πεῖν,grc,0,,,,
6,jeru0447.xml,7,2,2,ὄμα,grc,0,,,,
7,jeru0447.xml,8,2,2,οὐδεὶς,grc,0,,,,
8,jeru0447.xml,9,2,2,ἀθ,grc,0,,,,
9,jeru0447.xml,10,3,3,άνατος,grc,0,,,,
