,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,juei0001.xml,1,1,1,+,grc,0,,,,
1,juei0001.xml,2,1,1,εἰσὶν,grc,0,,,,
2,juei0001.xml,3,1,1,τὰ,grc,0,,,,
3,juei0001.xml,4,1,1,ἐν,grc,0,,,,
4,juei0001.xml,5,2,2,κένια,grc,0,,,,
5,juei0001.xml,6,2,2,τοῦ,grc,0,,,,
6,juei0001.xml,7,2,2,ἁγίου,grc,0,,,,
7,juei0001.xml,8,3,3,μάρκου,grc,0,,,,
8,juei0001.xml,9,3,3,μηνὸς,grc,0,,,,
9,juei0001.xml,10,3,3,αὐγούστου,grc,0,,,,
10,juei0001.xml,11,4,4,ϊ´ε,grc,0,,,,
