,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,kede0003.xml,1,1,1,μάρκῳ,grc,0,,,,
1,kede0003.xml,2,1,1,αὐρηλι,grc,0,,,,
2,kede0003.xml,3,1,1,ῳ,grc,0,,,,
3,kede0003.xml,4,1,1,ἀντωνίνῳ,grc,0,,,,
4,kede0003.xml,5,2,2,δεκάδαρχος,grc,0,,,,
5,kede0003.xml,6,3,3,ἀνέθηκεν,grc,0,,,,
6,kede0003.xml,7,3,3,τύ,grc,0,,,,
7,kede0003.xml,8,3,3,χης,grc,0,,,,
8,kede0003.xml,9,3,3,βωμόν,grc,0,,,,
9,kede0003.xml,10,4,4,ἔτους,grc,0,,,,
10,kede0003.xml,11,4,4,μτ,grc,0,,,,
