,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,masa0779.xml,1,1,1,ἀμιυίας,grc,0,,,,
1,masa0779.xml,2,2,2,λυκίας,grc,0,,,,
2,masa0779.xml,3,3,3,αύτὸς,grc,0,,,,
3,masa0779.xml,4,3,3,ἄλλας,grc,0,,,,
4,masa0779.xml,5,4,4,λαζαρ,grc,0,,,,
5,masa0779.xml,6,4,4,μασαραίου,grc,0,,,,
6,masa0779.xml,7,6,6,δραχμὰς,grc,0,,,,
7,masa0779.xml,8,6,6,η,grc,0,,,,
8,masa0779.xml,9,7,7,δραχμὰς,grc,0,,,,
9,masa0779.xml,10,7,7,η,grc,0,,,,
10,masa0779.xml,11,8,8,δραχμὰς,grc,0,,,,
11,masa0779.xml,12,8,8,θ,grc,0,,,,
12,masa0779.xml,13,9,9,δραχμὰς,grc,0,,,,
13,masa0779.xml,14,9,9,δ,grc,0,,,,
