,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,mger0020.xml,1,1,1,זי,arc,0,,,,
1,mger0020.xml,2,1,1,הקרב,arc,0,,,,
2,mger0020.xml,3,1,1,אצלח,arc,0,,,,
3,mger0020.xml,4,1,1,בר,arc,0,,,,
4,mger0020.xml,5,1,1,זבדי,arc,0,,,,
5,mger0020.xml,6,1,1,ויהונת,arc,0,,,,
6,mger0020.xml,7,1,1,נ,arc,0,,,,
7,mger0020.xml,8,2,2,ברה,arc,0,,,,
8,mger0020.xml,9,2,2,יהוספ,arc,0,,,,
9,mger0020.xml,10,2,2,וישוע,arc,0,,,,
10,mger0020.xml,11,2,2,בעיה,arc,0,,,,
11,mger0020.xml,12,2,2,מרים,arc,0,,,,
12,mger0020.xml,13,2,2,וברה,arc,0,,,,
