,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,rams0002.xml,1,1,1,κύριε,grc,0,,,,
1,rams0002.xml,2,1,1,πρόσδεξε,grc,0,,,,
2,rams0002.xml,3,1,1,τὴν,grc,0,,,,
3,rams0002.xml,4,1,1,προσ,grc,0,,,,
4,rams0002.xml,5,2,2,φορὰν,grc,0,,,,
5,rams0002.xml,6,2,2,τοῦ,grc,0,,,,
6,rams0002.xml,7,2,2,λαμπροτάτου,grc,0,,,,
7,rams0002.xml,8,3,3,βαλβίωνος,grc,0,,,,
8,rams0002.xml,9,4,4,τῷ,grc,0,,,,
9,rams0002.xml,10,4,4,ἐξ,grc,0,,,,
10,rams0002.xml,11,4,4,ἰδίων,grc,0,,,,
11,rams0002.xml,12,5,5,καὶ,grc,0,,,,
12,rams0002.xml,13,5,5,κόπου,grc,0,,,,
13,rams0002.xml,14,5,5,ἔκ,grc,0,,,,
14,rams0002.xml,15,6,6,τισεν,grc,0,,,,
15,rams0002.xml,16,6,6,τοῦ,grc,0,,,,
16,rams0002.xml,17,6,6,ἁγ,grc,0,,,,
17,rams0002.xml,18,6,6,ίου,grc,0,,,,
18,rams0002.xml,19,7,7,τώπου,grc,0,,,,
19,rams0002.xml,20,7,7,καὶ,grc,0,,,,
20,rams0002.xml,21,7,7,κύρι,grc,0,,,,
21,rams0002.xml,22,8,8,ε,grc,0,,,,
22,rams0002.xml,23,8,8,βωήθι,grc,0,,,,
23,rams0002.xml,24,8,8,μαξιμου,grc,0,,,,
24,rams0002.xml,25,8,8,οἰ,grc,0,,,,
25,rams0002.xml,26,9,9,κοδόμου,grc,0,,,,
26,rams0002.xml,27,9,9,τοῦ,grc,0,,,,
27,rams0002.xml,28,9,9,καὶ,grc,0,,,,
28,rams0002.xml,29,9,9,γράψαντος,grc,0,,,,
