,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,sepp0023.xml,1,1,1,μνησθῶσιν,grc,0,,,,
1,sepp0023.xml,2,1,1,εἰς,grc,0,,,,
2,sepp0023.xml,3,1,1,ἀγαθὸν,grc,0,,,,
3,sepp0023.xml,4,1,1,καὶ,grc,0,,,,
4,sepp0023.xml,5,1,1,εἰς,grc,0,,,,
5,sepp0023.xml,6,1,2,εὐλογία,grc,0,,,,
6,sepp0023.xml,7,2,2,ν,grc,0,,,,
7,sepp0023.xml,8,2,2,ἀννιανὸς,grc,0,,,,
8,sepp0023.xml,9,2,2,κὲ,grc,0,,,,
9,sepp0023.xml,10,2,3,πἀδελ,grc,0,,,,
10,sepp0023.xml,11,3,3,φοί,grc,0,,,,
11,sepp0023.xml,12,3,4,καὶcωζό,grc,0,,,,
12,sepp0023.xml,13,4,5,μενοςπρωτεύον,grc,0,,,,
13,sepp0023.xml,14,5,5,τος,grc,0,,,,
14,sepp0023.xml,15,5,5,καὶ,grc,0,,,,
15,sepp0023.xml,16,5,5,μετὰ,grc,0,,,,
16,sepp0023.xml,17,5,5,τῶν,grc,0,,,,
17,sepp0023.xml,18,5,5,τέκνων,grc,0,,,,
18,sepp0023.xml,19,5,6,ἐ,grc,0,,,,
19,sepp0023.xml,20,6,6,ποίησαν,grc,0,,,,
20,sepp0023.xml,21,6,6,τὴν,grc,0,,,,
21,sepp0023.xml,22,6,6,τάβλαν,grc,0,,,,
22,sepp0023.xml,23,6,6,ταύτην,grc,0,,,,
23,sepp0023.xml,24,6,7,εὐλογί,grc,0,,,,
24,sepp0023.xml,25,7,7,α,grc,0,,,,
25,sepp0023.xml,26,7,7,αὐτοῖς,grc,0,,,,
