,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,ulat0005.xml,1,1,1,διοκλητιανὸς,grc,0,,,,
1,ulat0005.xml,2,1,1,καὶ,grc,0,,,,
2,ulat0005.xml,3,1,1,μαξιμιανὸς,grc,0,,,,
3,ulat0005.xml,4,1,1,σεβαστοὶ,grc,0,,,,
4,ulat0005.xml,5,1,1,κωνστάντιος,grc,0,,,,
5,ulat0005.xml,6,1,1,καὶ,grc,0,,,,
6,ulat0005.xml,7,1,1,μαξιμιανὸς,grc,0,,,,
7,ulat0005.xml,8,1,1,καίσαρες,grc,0,,,,
8,ulat0005.xml,9,1,1,λίθον,grc,0,,,,
9,ulat0005.xml,10,1,1,διοpίζοντα,grc,0,,,,
10,ulat0005.xml,11,1,1,ἀγροὺς,grc,0,,,,
11,ulat0005.xml,12,1,1,κωμῶν,grc,0,,,,
12,ulat0005.xml,13,1,1,σαρισων,grc,0,,,,
13,ulat0005.xml,14,1,1,καὶ,grc,0,,,,
14,ulat0005.xml,15,1,1,βερνικης,grc,0,,,,
15,ulat0005.xml,16,1,1,στηριχθῆναι,grc,0,,,,
16,ulat0005.xml,17,1,1,ἐκέλευσαν,grc,0,,,,
17,ulat0005.xml,18,1,1,φροντίδι,grc,0,,,,
18,ulat0005.xml,19,1,1,ἐλίου,grc,0,,,,
19,ulat0005.xml,20,1,1,στατούτου,grc,0,,,,
20,ulat0005.xml,21,1,1,διασημοτάτου,grc,0,,,,
