,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,apol0100.xml,1,2,2,+ἀμβροσίης,grc,0,,,,,
1,1,apol0100.xml,2,2,2,τελέθω,grc,0,,,,,
2,2,apol0100.xml,3,2,2,καὶγέκταρος,grc,0,,,,,
3,3,apol0100.xml,4,2,2,οἶκο,grc,0,,,,,
4,4,apol0100.xml,5,2,2,σ,grc,0,,,,,
5,5,apol0100.xml,6,2,2,ἀρεἰων,grc,0,,,,,
6,6,apol0100.xml,7,3,3,καί,grc,0,,,,,
7,7,apol0100.xml,8,3,3,με,grc,0,,,,,
8,8,apol0100.xml,9,3,3,μαρῖνος,grc,0,,,,,
9,9,apol0100.xml,10,3,3,ἔτευξε,grc,0,,,,,
10,10,apol0100.xml,11,3,3,θεὸν,grc,0,,,,,
11,11,apol0100.xml,12,3,3,κλυτόμητιν,grc,0,,,,,
12,12,apol0100.xml,13,3,3,ἀίρων,grc,0,,,,,
13,13,apol0100.xml,14,4,4,μυς,grc,0,,,,,
14,14,apol0100.xml,15,4,4,τικὸν,grc,0,,,,,
15,15,apol0100.xml,16,4,4,ἀχάαντον,grc,0,,,,,
16,16,apol0100.xml,17,4,4,ἀεὶ,grc,0,,,,,
17,17,apol0100.xml,18,4,4,νόον,grc,0,,,,,
18,18,apol0100.xml,19,4,4,ἡνιοχεύων+,grc,0,,,,,
