,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,ashk0001.xml,1,1,1,ὑπὲρ,grc,0,,,,,
1,1,ashk0001.xml,2,1,1,σωτηριας,grc,0,,,,,
2,2,ashk0001.xml,3,1,2,μενάμου,grc,0,,,,,
3,3,ashk0001.xml,4,2,2,καὶ,grc,0,,,,,
4,4,ashk0001.xml,5,2,2,ματρώνας,grc,0,,,,,
5,5,ashk0001.xml,6,2,2,σηβίου,grc,0,,,,,
6,6,ashk0001.xml,7,2,3,αὐτοῦ,grc,0,,,,,
7,7,ashk0001.xml,8,3,3,καί,grc,0,,,,,
8,8,ashk0001.xml,9,3,3,σαμούλου,grc,0,,,,,
9,9,ashk0001.xml,10,3,3,υἱοῦ,grc,0,,,,,
10,10,ashk0001.xml,11,5,5,αὐτῶν,grc,0,,,,,
