,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,ashk0003a.xml,1,1,1,imperatori,la,0,imperatori,N,dat,imperator,"<words>
<word>
<form xml:lang=""lat"">imperatori</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">imperator</hdwd>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<gend>masculine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>impera_t</stem><suff>o_ri_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>or_oLris</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>impera_t</stem><suff>o^ri_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>or_oris</stemtype>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">imperatorius</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>impera_to_r</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>ius_ia_ium</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>impera_to_r</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>ius_ia_ium</stemtype>
</infl>
</entry>
</word>
</words>
"
1,1,ashk0003a.xml,2,1,1,caesari,la,0,caesari,N,dat,caesar,"<words>
<unknown xml:lang=""lat"">caesari</unknown>
</words>
"
2,2,ashk0003a.xml,3,2,2,divi,la,0,divi,ADJ,,divus,"<words>
<word>
<form xml:lang=""lat"">divi</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">divus</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""6"">genitive</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""6"">genitive</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_i</stemtype>
</infl>
</entry>
</word>
</words>
"
3,3,ashk0003a.xml,4,2,2,antonini,la,0,antonini,ADJ,,antonini,"<words>
<unknown xml:lang=""lat"">antonini</unknown>
</words>
"
4,4,ashk0003a.xml,5,2,3,maioris,la,0,maioris,ADJ,COM,magnus,"<words>
<word>
<form xml:lang=""lat"">maioris</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">magnus</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>ma</stem><suff>ioris</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""6"">genitive</case>
<gend>masculine</gend>
<comp>comparative</comp>
<num>singular</num>
<stemtype>ior_ius_comp</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>ma</stem><suff>ioris</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""6"">genitive</case>
<gend>feminine</gend>
<comp>comparative</comp>
<num>singular</num>
<stemtype>ior_ius_comp</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>ma</stem><suff>ioris</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""6"">genitive</case>
<gend>neuter</gend>
<comp>comparative</comp>
<num>singular</num>
<stemtype>ior_ius_comp</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>maj</stem><suff>oris</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""6"">genitive</case>
<comp>comparative</comp>
<num>singular</num>
<stemtype>or_us_comp</stemtype>
</infl>
</entry>
</word>
</words>
"
5,5,ashk0003a.xml,6,3,3,pii,la,0,pii,ADJ,,pii,"<words>
<word>
<form xml:lang=""lat"">pii</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">pius</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>pi</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>pi</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>pi</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>pi</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
</entry>
</word>
</words>
"
6,6,ashk0003a.xml,7,3,3,filio,la,0,filio,N,dat,filius,"<words>
<word>
<form xml:lang=""lat"">filio</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">filius</hdwd>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<gend>masculine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>fi_l</stem><suff>io_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>ius_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>fi_l</stem><suff>io_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>ius_i</stemtype>
</infl>
</entry>
</word>
</words>
"
7,7,ashk0003a.xml,8,3,3,divi,la,0,divi,ADJ,,divus,"<words>
<word>
<form xml:lang=""lat"">divi</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">divus</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""6"">genitive</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>di_v</stem><suff>i_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""6"">genitive</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_i</stemtype>
</infl>
</entry>
</word>
</words>
"
8,8,ashk0003a.xml,9,3,3,severi,la,0,severi,N,dat,severi,"<words>
<word>
<form xml:lang=""lat"">severi</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">severus#1</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>seve_r</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>seve_r</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>seve_r</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>seve_r</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
</entry>
</word>
</words>
"
9,9,ashk0003a.xml,10,3,3,pii,la,0,pii,ADJ,,pii,"<words>
<word>
<form xml:lang=""lat"">pii</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">pius</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>pi</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>pi</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>pi</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>pi</stem><suff>i_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""6"">genitive</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
</entry>
</word>
</words>
"
