,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,ashk0003b.xml,1,1,2,imperatoribus,la,0,imperatoribus,N,abl,imperator,"<words>
<word>
<form xml:lang=""lat"">imperatoribus</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">imperator</hdwd>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<gend>masculine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>impera_t</stem><suff>o_ribus</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>or_oLris</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>impera_t</stem><suff>o_ribus</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>or_oLris</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>impera_t</stem><suff>o^ribus</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>or_oris</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>impera_t</stem><suff>o^ribus</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>or_oris</stemtype>
</infl>
</entry>
</word>
</words>
"
1,1,ashk0003b.xml,2,2,3,caesaribus,la,0,caesaribus,N,abl,caesar,"<words>
<unknown xml:lang=""lat"">caesaribus</unknown>
</words>
"
2,2,ashk0003b.xml,3,3,3,fratribus,la,0,fratribus,N,abl,frater,"<words>
<word>
<form xml:lang=""lat"">fratribus</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">frater</hdwd>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<gend>masculine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>fra_t</stem><suff>ribus</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>er_ris</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>fra_t</stem><suff>ribus</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>er_ris</stemtype>
</infl>
</entry>
</word>
</words>
"
3,3,ashk0003b.xml,4,4,4,gaio,la,0,gaio,N,abl,gaius,"<words>
<unknown xml:lang=""lat"">gaio</unknown>
</words>
"
4,4,ashk0003b.xml,5,4,4,valerio,la,0,valerio,ADJ,abl,valerius,"<words>
<unknown xml:lang=""lat"">valerio</unknown>
</words>
"
5,5,ashk0003b.xml,6,5,5,diocletiano,la,0,diocletiano,N,abl,diocletianus,"<words>
<unknown xml:lang=""lat"">diocletiano</unknown>
</words>
"
6,6,ashk0003b.xml,7,6,6,et,la,0,et,CC,,et,"<words>
<word>
<form xml:lang=""lat"">et</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">et</hdwd>
<pofs order=""0"">conjunction</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>et</stem></term>
<pofs order=""0"">conjunction</pofs>
<stemtype>conj</stemtype>
<morph>indeclform</morph>
</infl>
</entry>
</word>
</words>
"
7,7,ashk0003b.xml,8,6,6,marco,la,0,marco,N,abl,marcus,"<words>
<word>
<form xml:lang=""lat"">marco</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">marcus#1</hdwd>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<gend>masculine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>marc</stem><suff>o_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>marc</stem><suff>o_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_i</stemtype>
</infl>
</entry>
</word>
</words>
"
8,8,ashk0003b.xml,9,6,6,aurelio,la,0,aurelio,V,IND,aurelio,"<words>
<unknown xml:lang=""lat"">aurelio</unknown>
</words>
"
9,9,ashk0003b.xml,10,7,7,valerio,la,0,valerio,ADJ,,valerius,"<words>
<unknown xml:lang=""lat"">valerio</unknown>
</words>
"
10,10,ashk0003b.xml,11,8,8,maximiano,la,0,maximiano,N,dat,maximiano,"<words>
<unknown xml:lang=""lat"">maximiano</unknown>
</words>
"
