,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,birs0006.xml,1,1,1,ἀρχιποιμήν,grc,0,,,,,
1,1,birs0006.xml,2,1,1,ἐκ,grc,0,,,,,
2,2,birs0006.xml,3,2,2,θεο,grc,0,,,,,
3,3,birs0006.xml,4,2,2,ῦ,grc,0,,,,,
4,4,birs0006.xml,5,2,2,γέγονεν,grc,0,,,,,
5,5,birs0006.xml,6,2,2,ἡμῖν,grc,0,,,,,
6,6,birs0006.xml,7,3,3,μακεδένιος,grc,0,,,,,
7,7,birs0006.xml,8,3,3,ὁ,grc,0,,,,,
8,8,birs0006.xml,9,3,4,ὁσιώτατος,grc,0,,,,,
9,9,birs0006.xml,10,4,4,ἐπίσκοπος,grc,0,,,,,
10,10,birs0006.xml,11,5,5,ὅθεν,grc,0,,,,,
11,11,birs0006.xml,12,5,5,ἐπαὐτοῦ,grc,0,,,,,
12,12,birs0006.xml,13,6,6,ναοὶ,grc,0,,,,,
13,13,birs0006.xml,14,6,6,ἀνεγείρονται,grc,0,,,,,
14,14,birs0006.xml,15,7,7,καὶ,grc,0,,,,,
15,15,birs0006.xml,16,7,8,λαμπροίνοταινται,grc,0,,,,,
16,16,birs0006.xml,17,8,8,καὶ,grc,0,,,,,
17,17,birs0006.xml,18,8,8,οἱ,grc,0,,,,,
18,18,birs0006.xml,19,8,8,ἅγιοι,grc,0,,,,,
19,19,birs0006.xml,20,9,9,κοσμοῦνται,grc,0,,,,,
20,20,birs0006.xml,21,9,9,καὶ,grc,0,,,,,
21,21,birs0006.xml,22,10,10,ὁ,grc,0,,,,,
22,22,birs0006.xml,23,10,10,λαὸς,grc,0,,,,,
23,23,birs0006.xml,24,10,10,ἀγάλλεται,grc,0,,,,,
24,24,birs0006.xml,25,11,11,διαμεῖναι,grc,0,,,,,
25,25,birs0006.xml,26,11,11,τῇ,grc,0,,,,,
26,26,birs0006.xml,27,12,12,ἀγέλῃ,grc,0,,,,,
27,27,birs0006.xml,28,12,12,αὐτοῦ,grc,0,,,,,
