,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,bshe0140.xml,1,1,1,ἀρτεμίδωρος,grc,0,,,,,
1,1,bshe0140.xml,2,1,2,ἀνάσσαν,grc,0,,,,,
2,2,bshe0140.xml,3,2,2,ὅλης,grc,0,,,,,
3,3,bshe0140.xml,4,2,2,χθονὸς,grc,0,,,,,
4,4,bshe0140.xml,5,3,3,εὐδοξίαν,grc,0,,,,,
5,5,bshe0140.xml,6,3,4,χρυσείην,grc,0,,,,,
6,6,bshe0140.xml,7,4,4,ἒστησε,grc,0,,,,,
7,7,bshe0140.xml,8,4,5,περισκέπτῳ,grc,0,,,,,
8,8,bshe0140.xml,9,5,5,ἐν,grc,0,,,,,
9,9,bshe0140.xml,10,5,5,χώρῳ,grc,0,,,,,
