,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,elus0015.xml,1,2,2,τὸν,grc,0,,,,,
1,1,elus0015.xml,2,2,2,δοῦλον,grc,0,,,,,
2,2,elus0015.xml,3,2,2,σοῦ,grc,0,,,,,
3,3,elus0015.xml,4,2,3,ἀ,grc,0,,,,,
4,4,elus0015.xml,5,3,3,μ,grc,0,,,,,
5,5,elus0015.xml,6,3,3,ρίλιον,grc,0,,,,,
6,6,elus0015.xml,7,3,3,ἁλφίου,grc,0,,,,,
7,7,elus0015.xml,8,4,4,ἀναπαύεη,grc,0,,,,,
8,8,elus0015.xml,9,4,4,ἠτο͂ν,grc,0,,,,,
9,9,elus0015.xml,10,5,5,ιζʹ,grc,0,,,,,
10,10,elus0015.xml,11,5,5,ἠκυμήθη,grc,0,,,,,
11,11,elus0015.xml,12,5,5,δὴ,grc,0,,,,,
12,12,elus0015.xml,13,5,5,ἠν,grc,0,,,,,
13,13,elus0015.xml,14,5,6,μηνὶ,grc,0,,,,,
14,14,elus0015.xml,15,6,6,δίον,grc,0,,,,,
15,15,elus0015.xml,16,6,6,κ,grc,0,,,,,
16,16,elus0015.xml,17,6,6,ἰνδικτιῶνος,grc,0,,,,,
17,17,elus0015.xml,18,6,6,ζʹ,grc,0,,,,,
