,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,eluy0003.xml,1,1,1,αγαθῇ,grc,0,,,,,
1,1,eluy0003.xml,2,1,1,τύχῃ,grc,0,,,,,
2,2,eluy0003.xml,3,2,2,ισίδωρος,grc,0,,,,,
3,3,eluy0003.xml,4,2,2,καὶ,grc,0,,,,,
4,4,eluy0003.xml,5,3,3,δομιττιανὸς,grc,0,,,,,
5,5,eluy0003.xml,6,3,3,οὐεττερανοὶ,grc,0,,,,,
6,6,eluy0003.xml,7,4,4,ἐξ,grc,0,,,,,
7,7,eluy0003.xml,8,4,4,ἱεροῦ,grc,0,,,,,
8,8,eluy0003.xml,9,4,4,πρετωρίου,grc,0,,,,,
9,9,eluy0003.xml,10,5,5,τῇ,grc,0,,,,,
10,10,eluy0003.xml,11,5,5,κυρίᾳ,grc,0,,,,,
11,11,eluy0003.xml,12,5,5,πατρῖδι,grc,0,,,,,
