,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,evro0007.xml,1,1,1,ψο,grc,0,,,,,
1,1,evro0007.xml,2,2,2,βλπ,grc,0,,,,,
2,2,evro0007.xml,3,3,4,δύστρου,grc,0,,,,,
3,3,evro0007.xml,4,4,4,ἔτους,grc,0,,,,,
4,4,evro0007.xml,5,4,4,463,grc,0,,,,,
5,5,evro0007.xml,6,4,4,ἐπί,grc,0,,,,,
6,6,evro0007.xml,7,5,5,σχου,grc,0,,,,,
7,7,evro0007.xml,8,5,5,ἐπισκόπου,grc,0,,,,,
8,8,evro0007.xml,9,6,6,έου,grc,0,,,,,
9,9,evro0007.xml,10,6,6,χωρεπισκόπου,grc,0,,,,,
10,10,evro0007.xml,11,7,7,σαμάκωνος,grc,0,,,,,
11,11,evro0007.xml,12,7,8,πρεσβυτέρου,grc,0,,,,,
12,12,evro0007.xml,13,8,8,ἰουλιανοῦ,grc,0,,,,,
13,13,evro0007.xml,14,8,9,ἀρ,grc,0,,,,,
14,14,evro0007.xml,15,9,9,χιδιακόνου,grc,0,,,,,
15,15,evro0007.xml,16,9,9,ζαδάκων,grc,0,,,,,
16,16,evro0007.xml,17,10,10,εὐθαλίου,grc,0,,,,,
17,17,evro0007.xml,18,10,10,καί,grc,0,,,,,
18,18,evro0007.xml,19,10,10,η,grc,0,,,,,
19,19,evro0007.xml,20,11,11,ησου,grc,0,,,,,
20,20,evro0007.xml,21,11,11,διακόνων,grc,0,,,,,
21,21,evro0007.xml,22,11,11,μαξιμωνος,grc,0,,,,,
22,22,evro0007.xml,23,12,12,γεράσωνος,grc,0,,,,,
23,23,evro0007.xml,24,12,12,ὐπόδιακόνων,grc,0,,,,,
24,24,evro0007.xml,25,13,13,κ,grc,0,,,,,
25,25,evro0007.xml,26,13,13,αί,grc,0,,,,,
26,26,evro0007.xml,27,13,13,ἱωάννους,grc,0,,,,,
27,27,evro0007.xml,28,13,14,δομνίν,grc,0,,,,,
28,28,evro0007.xml,29,14,14,ου,grc,0,,,,,
29,29,evro0007.xml,30,14,14,γερμανοῦ,grc,0,,,,,
30,30,evro0007.xml,31,14,14,τῶν,grc,0,,,,,
31,31,evro0007.xml,32,15,15,ἀναγνωστῶν,grc,0,,,,,
32,32,evro0007.xml,33,16,16,κύριε,grc,0,,,,,
33,33,evro0007.xml,34,16,16,ἰησοῦ,grc,0,,,,,
34,34,evro0007.xml,35,16,16,χριστ,grc,0,,,,,
35,35,evro0007.xml,36,16,16,έ,grc,0,,,,,
36,36,evro0007.xml,37,16,16,μνήσκου,grc,0,,,,,
37,37,evro0007.xml,38,16,17,τ,grc,0,,,,,
38,38,evro0007.xml,39,17,17,οῦ,grc,0,,,,,
39,39,evro0007.xml,40,17,17,δούλου,grc,0,,,,,
40,40,evro0007.xml,41,17,17,σου,grc,0,,,,,
41,41,evro0007.xml,42,17,18,ἰουλ,grc,0,,,,,
42,42,evro0007.xml,43,18,18,ιανοῦ,grc,0,,,,,
43,43,evro0007.xml,44,18,18,καί,grc,0,,,,,
44,44,evro0007.xml,45,18,18,παύλου,grc,0,,,,,
45,45,evro0007.xml,46,19,19,τοῦ,grc,0,,,,,
46,46,evro0007.xml,47,19,19,ψηφοθέτου,grc,0,,,,,
47,47,evro0007.xml,48,20,20,κεμλου,grc,0,,,,,
48,48,evro0007.xml,49,21,21,ι,grc,0,,,,,
49,49,evro0007.xml,50,21,21,στρατηγίου,grc,0,,,,,
