,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,fakh0003.xml,1,1,1,λίθον,grc,0,,,,,
1,1,fakh0003.xml,2,1,1,διορίζο,grc,0,,,,,
2,2,fakh0003.xml,3,1,1,ντ,grc,0,,,,,
3,3,fakh0003.xml,4,2,2,α,grc,0,,,,,
4,4,fakh0003.xml,5,2,2,ν,grc,0,,,,,
5,5,fakh0003.xml,6,2,2,μη,grc,0,,,,,
6,6,fakh0003.xml,7,3,3,ἐν,grc,0,,,,,
7,7,fakh0003.xml,8,3,3,ὑπατη,grc,0,,,,,
8,8,fakh0003.xml,9,4,4,π,grc,0,,,,,
9,9,fakh0003.xml,10,5,5,υ,grc,0,,,,,
10,10,fakh0003.xml,11,6,6,χ,grc,0,,,,,
