,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,fiqg0024.xml,1,1,1,διοκλητιανὸς,grc,0,,,,,
1,1,fiqg0024.xml,2,2,2,καὶ,grc,0,,,,,
2,2,fiqg0024.xml,3,2,2,μαξειμιανὸς,grc,0,,,,,
3,3,fiqg0024.xml,4,3,3,σεβαστοὶ,grc,0,,,,,
4,4,fiqg0024.xml,5,4,4,καὶ,grc,0,,,,,
5,5,fiqg0024.xml,6,4,4,κωνστάντιος,grc,0,,,,,
6,6,fiqg0024.xml,7,5,5,καὶ,grc,0,,,,,
7,7,fiqg0024.xml,8,5,5,μαξειμιανὸς,grc,0,,,,,
8,8,fiqg0024.xml,9,6,6,ἐπιφαν,grc,0,,,,,
9,9,fiqg0024.xml,10,6,6,έστατοι,grc,0,,,,,
10,10,fiqg0024.xml,11,7,7,καίσαρες,grc,0,,,,,
