,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,haif0012.xml,1,1,1,μνησθῇ,grc,0,,,,,
1,1,haif0012.xml,2,1,1,λού,grc,0,,,,,
2,2,haif0012.xml,3,2,2,κιος,grc,0,,,,,
3,3,haif0012.xml,4,2,2,σατθρίο,grc,0,,,,,
4,4,haif0012.xml,5,3,3,υ,grc,0,,,,,
5,5,haif0012.xml,6,3,3,σύμβιος,grc,0,,,,,
6,6,haif0012.xml,7,3,3,πανοικί,grc,0,,,,,
7,7,haif0012.xml,8,4,4,ᾳ,grc,0,,,,,
8,8,haif0012.xml,9,4,4,ν,grc,0,,,,,
9,9,haif0012.xml,10,4,4,α,grc,0,,,,,
