,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,hraq0001.xml,1,2,2,אי,arc,0,,,,,
1,1,hraq0001.xml,2,2,2,ה,arc,0,,,,,
2,2,hraq0001.xml,3,2,2,רוחא,arc,0,,,,,
3,3,hraq0001.xml,4,2,2,יחבורא,arc,0,,,,,
4,4,hraq0001.xml,5,2,2,יחנונא,arc,0,,,,,
5,5,hraq0001.xml,6,3,3,אניה,arc,0,,,,,
6,6,hraq0001.xml,7,3,3,אעתריא,arc,0,,,,,
7,7,hraq0001.xml,8,3,3,ידע,arc,0,,,,,
8,8,hraq0001.xml,9,3,3,די,arc,0,,,,,
9,9,hraq0001.xml,10,3,3,כא,arc,0,,,,,
10,10,hraq0001.xml,11,3,3,שררנא,arc,0,,,,,
11,11,hraq0001.xml,12,4,4,ערב,arc,0,,,,,
12,12,hraq0001.xml,13,4,4,עלא,arc,0,,,,,
13,13,hraq0001.xml,14,4,4,בגפין,arc,0,,,,,
14,14,hraq0001.xml,15,4,4,חמנא,arc,0,,,,,
15,15,hraq0001.xml,16,4,4,ברר,arc,0,,,,,
16,16,hraq0001.xml,17,4,4,לתא,arc,0,,,,,
17,17,hraq0001.xml,18,4,4,אלה,arc,0,,,,,
18,18,hraq0001.xml,19,5,5,נשו,arc,0,,,,,
19,19,hraq0001.xml,20,5,5,ופיא,arc,0,,,,,
20,20,hraq0001.xml,21,5,5,עם,arc,0,,,,,
21,21,hraq0001.xml,22,5,5,שרצת,arc,0,,,,,
22,22,hraq0001.xml,23,5,5,בתלתא,arc,0,,,,,
23,23,hraq0001.xml,24,5,5,והצנא,arc,0,,,,,
24,24,hraq0001.xml,25,6,6,ואלה,arc,0,,,,,
25,25,hraq0001.xml,26,6,6,אלה,arc,0,,,,,
26,26,hraq0001.xml,27,6,6,פשרתא,arc,0,,,,,
27,27,hraq0001.xml,28,6,6,תנשר,arc,0,,,,,
28,28,hraq0001.xml,29,6,6,ברתאל,arc,0,,,,,
29,29,hraq0001.xml,30,7,7,תפשר,arc,0,,,,,
30,30,hraq0001.xml,31,7,7,ברת,arc,0,,,,,
31,31,hraq0001.xml,32,7,7,תנשר,arc,0,,,,,
32,32,hraq0001.xml,33,7,7,אעצץ,arc,0,,,,,
33,33,hraq0001.xml,34,7,7,בר,arc,0,,,,,
34,34,hraq0001.xml,35,7,7,שמש,arc,0,,,,,
35,35,hraq0001.xml,36,8,8,חרגל,arc,0,,,,,
36,36,hraq0001.xml,37,8,8,ברתל,arc,0,,,,,
37,37,hraq0001.xml,38,8,8,שבטבטא,arc,0,,,,,
38,38,hraq0001.xml,39,8,8,ברתאל,arc,0,,,,,
39,39,hraq0001.xml,40,8,8,צלמניתא,arc,0,,,,,
40,40,hraq0001.xml,41,9,9,שרא,arc,0,,,,,
41,41,hraq0001.xml,42,9,9,שרא,arc,0,,,,,
42,42,hraq0001.xml,43,9,9,גבר,arc,0,,,,,
43,43,hraq0001.xml,44,9,9,אפשר,arc,0,,,,,
44,44,hraq0001.xml,45,9,9,צן,arc,0,,,,,
45,45,hraq0001.xml,46,9,9,אנתה,arc,0,,,,,
46,46,hraq0001.xml,47,10,10,ברר,arc,0,,,,,
47,47,hraq0001.xml,48,10,10,לה,arc,0,,,,,
48,48,hraq0001.xml,49,10,10,בטוטא,arc,0,,,,,
