,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,jaff0051.xml,1,1,1,הדא,arc,0,,,,,
1,1,jaff0051.xml,2,1,1,קבורתא,arc,0,,,,,
2,2,jaff0051.xml,3,1,1,דיודן,arc,0,,,,,
3,3,jaff0051.xml,4,1,1,ברה,arc,0,,,,,
4,4,jaff0051.xml,5,2,2,דרבי,arc,0,,,,,
5,5,jaff0051.xml,6,2,2,טרפון,arc,0,,,,,
6,6,jaff0051.xml,7,2,2,בירבי,arc,0,,,,,
7,7,jaff0051.xml,8,2,2,נוח,arc,0,,,,,
8,8,jaff0051.xml,9,2,2,נפש,arc,0,,,,,
9,9,jaff0051.xml,10,2,2,זכרונו,arc,0,,,,,
10,10,jaff0051.xml,11,3,3,לברכה,arc,0,,,,,
11,11,jaff0051.xml,12,3,3,שלום,arc,0,,,,,
