,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,juei0004.xml,1,1,1,+,grc,0,,,,,
1,1,juei0004.xml,2,1,1,φλγ,grc,0,,,,,
2,2,juei0004.xml,3,1,1,βαλβίον,grc,0,,,,,
3,3,juei0004.xml,4,1,1,υἱὸς,grc,0,,,,,
4,4,juei0004.xml,5,1,1,κόνονος,grc,0,,,,,
5,5,juei0004.xml,6,1,1,λαμπ,grc,0,,,,,
6,6,juei0004.xml,7,1,1,ρότατος,grc,0,,,,,
7,7,juei0004.xml,8,2,2,καὶ,grc,0,,,,,
8,8,juei0004.xml,9,2,2,τηλικοῦτος,grc,0,,,,,
9,9,juei0004.xml,10,2,2,γινόμενος,grc,0,,,,,
10,10,juei0004.xml,11,2,2,ἐξ,grc,0,,,,,
11,11,juei0004.xml,12,2,2,ἰδίον,grc,0,,,,,
12,12,juei0004.xml,13,2,2,ἔκτισεν,grc,0,,,,,
13,13,juei0004.xml,14,2,2,τὸ,grc,0,,,,,
14,14,juei0004.xml,15,2,2,μαρτύριον,grc,0,,,,,
