,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,khir0001.xml,1,1,1,ἐπὶ,grc,0,,,,,
1,1,khir0001.xml,2,1,1,τοῦ,grc,0,,,,,
2,2,khir0001.xml,3,1,1,θεοφιλεστάτου,grc,0,,,,,
3,3,khir0001.xml,4,2,2,άνου,grc,0,,,,,
4,4,khir0001.xml,5,2,2,πρεσβυτέρου,grc,0,,,,,
5,5,khir0001.xml,6,2,2,ἐγένετο,grc,0,,,,,
6,6,khir0001.xml,7,2,2,τὸ,grc,0,,,,,
7,7,khir0001.xml,8,3,3,ἔργον,grc,0,,,,,
8,8,khir0001.xml,9,3,3,τῆς,grc,0,,,,,
9,9,khir0001.xml,10,3,3,ψιφόσεος,grc,0,,,,,
10,10,khir0001.xml,11,3,3,ἰνδικτιόνος,grc,0,,,,,
11,11,khir0001.xml,12,3,3,ιβ,grc,0,,,,,
