,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,mare0108.xml,1,2,2,אלחני,arc,0,,,,,
1,1,mare0108.xml,2,2,2,מ,arc,0,,,,,
2,2,mare0108.xml,3,2,2,תק,arc,0,,,,,
3,3,mare0108.xml,4,2,2,נע,arc,0,,,,,
4,4,mare0108.xml,5,2,2,מ,arc,0,,,,,
5,5,mare0108.xml,6,2,2,אל,arc,0,,,,,
6,6,mare0108.xml,7,3,3,ן,arc,0,,,,,
7,7,mare0108.xml,8,3,3,עלם,arc,0,,,,,
8,8,mare0108.xml,9,4,4,ל,arc,0,,,,,
9,9,mare0108.xml,10,4,4,לח,arc,0,,,,,
10,10,mare0108.xml,11,5,5,קב,arc,0,,,,,
