,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,masa0420.xml,1,1,1,בר,arc,0,,,,,
1,1,masa0420.xml,2,1,1,הלקי,arc,0,,,,,
2,2,masa0420.xml,3,2,2,הגדראין,arc,0,,,,,
3,3,masa0420.xml,4,3,3,בר,arc,0,,,,,
4,4,masa0420.xml,5,3,3,קרזלא,arc,0,,,,,
5,5,masa0420.xml,6,4,4,זומלית,arc,0,,,,,
6,6,masa0420.xml,7,4,4,זערא,arc,0,,,,,
7,7,masa0420.xml,8,5,5,בר,arc,0,,,,,
8,8,masa0420.xml,9,5,5,ישוע,arc,0,,,,,
9,9,masa0420.xml,10,6,6,בר,arc,0,,,,,
10,10,masa0420.xml,11,6,6,קסא,arc,0,,,,,
11,11,masa0420.xml,12,7,7,ישוע,arc,0,,,,,
12,12,masa0420.xml,13,7,7,גירא,arc,0,,,,,
