,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,rafi0002.xml,1,1,1,+,grc,0,,,,,
1,1,rafi0002.xml,2,1,1,εἷς,grc,0,,,,,
2,2,rafi0002.xml,3,1,1,θεό,grc,0,,,,,
3,3,rafi0002.xml,4,1,1,ς,grc,0,,,,,
4,4,rafi0002.xml,5,1,1,ὁ,grc,0,,,,,
5,5,rafi0002.xml,6,2,2,βοηθῶν,grc,0,,,,,
6,6,rafi0002.xml,7,3,3,σεργωνᾶ,grc,0,,,,,
7,7,rafi0002.xml,8,4,4,χριστός,grc,0,,,,,
8,8,rafi0002.xml,9,4,4,μαρίας,grc,0,,,,,
9,9,rafi0002.xml,10,4,4,γεννηθείς,grc,0,,,,,
10,10,rafi0002.xml,11,5,5,α,grc,0,,,,,
11,11,rafi0002.xml,12,5,5,ω,grc,0,,,,,
12,12,rafi0002.xml,13,6,6,τούτῳ,grc,0,,,,,
13,13,rafi0002.xml,14,7,7,νίκα,grc,0,,,,,
14,14,rafi0002.xml,15,7,7,+,grc,0,,,,,
15,15,rafi0002.xml,16,7,7,κτίστης,grc,0,,,,,
16,16,rafi0002.xml,17,8,8,αβελαθουτω,grc,0,,,,,
