,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,sepp0017.xml,1,1,1,μνησθ<supplied,grc,0,,,,,
1,1,sepp0017.xml,2,1,1,reason=undefined>ῇ,grc,0,,,,,
2,2,sepp0017.xml,3,1,1,εἰς,grc,0,,,,,
3,3,sepp0017.xml,4,1,1,ἀγαθὸν,grc,0,,,,,
4,4,sepp0017.xml,5,1,1,κὲ,grc,0,,,,,
5,5,sepp0017.xml,6,1,1,εἰς,grc,0,,,,,
6,6,sepp0017.xml,7,1,1,εὐφημίαν,grc,0,,,,,
7,7,sepp0017.xml,8,1,1,ἰούδας,grc,0,,,,,
8,8,sepp0017.xml,9,1,1,μονίμου,grc,0,,,,,
9,9,sepp0017.xml,10,1,1,ἅμα,grc,0,,,,,
10,10,sepp0017.xml,11,1,1,τέκνοις,grc,0,,,,,
11,11,sepp0017.xml,12,1,1,αὐτου,grc,0,,,,,
12,12,sepp0017.xml,13,2,2,ε,grc,0,,,,,
13,13,sepp0017.xml,14,2,2,ὐξάμενοι,grc,0,,,,,
14,14,sepp0017.xml,15,2,2,ἐποίησαν,grc,0,,,,,
15,15,sepp0017.xml,16,2,2,τὴν,grc,0,,,,,
16,16,sepp0017.xml,17,2,2,πάσαν,grc,0,,,,,
17,17,sepp0017.xml,18,2,2,τάβλαν,grc,0,,,,,
18,18,sepp0017.xml,19,2,2,εὐλογία,grc,0,,,,,
19,19,sepp0017.xml,20,2,2,αὐτοῖς,grc,0,,,,,
